method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,1,2,11,-1928.4692352602017
Random,2,2,1,2,12,-1928.4692352602017
Random,2,2,1,2,13,-1928.4692352602017
Random,2,2,1,2,14,-1928.4692352602017
Random,2,2,1,2,15,-1928.4692352602017
Random,2,2,1,2,16,-1928.4692352602017
Random,2,2,1,2,17,-1928.4692352602017
Random,2,2,1,2,18,-1928.4692352602017
Random,2,2,1,2,19,-1928.4692352602017
Random,2,2,1,2,20,-1928.4692352602017
qLogEI,2,2,1,2,1,inf
qLogEI,2,2,1,2,2,-1501.5305258682502
qLogEI,2,2,1,2,3,-1501.5305258682502
qLogEI,2,2,1,2,4,-1501.5305258682502
qLogEI,2,2,1,2,5,-1859.981759577609
qLogEI,2,2,1,2,6,-1859.981759577609
qLogEI,2,2,1,2,7,-1859.981759577609
qLogEI,2,2,1,2,8,-1859.981759577609
qLogEI,2,2,1,2,9,-1982.920950518683
qLogEI,2,2,1,2,10,-1982.920950518683
qLogEI,2,2,1,2,11,-1982.920950518683
qLogEI,2,2,1,2,12,-2006.6928908688703
qLogEI,2,2,1,2,13,-2011.0842357625206
qLogEI,2,2,1,2,14,-2011.0842357625206
qLogEI,2,2,1,2,15,-2011.0842357625206
qLogEI,2,2,1,2,16,-2011.0842357625206
qLogEI,2,2,1,2,17,-2019.9442961266377
qLogEI,2,2,1,2,18,-2019.9442961266377
qLogEI,2,2,1,2,19,-2019.9442961266377
qLogEI,2,2,1,2,20,-2019.9442961266377
RL_Enhanced,2,2,1,2,1,inf
RL_Enhanced,2,2,1,2,2,-1501.5305258682502
RL_Enhanced,2,2,1,2,3,-1501.5305258682502
RL_Enhanced,2,2,1,2,4,-1501.5305258682502
RL_Enhanced,2,2,1,2,5,-1570.6125298122981
RL_Enhanced,2,2,1,2,6,-1570.6125298122981
RL_Enhanced,2,2,1,2,7,-1570.6125298122981
RL_Enhanced,2,2,1,2,8,-1570.6125298122981
RL_Enhanced,2,2,1,2,9,-1570.6125298122981
RL_Enhanced,2,2,1,2,10,-1570.6125298122981
RL_Enhanced,2,2,1,2,11,-1570.6125298122981
RL_Enhanced,2,2,1,2,12,-1570.6125298122981
RL_Enhanced,2,2,1,2,13,-1570.6125298122981
RL_Enhanced,2,2,1,2,14,-1570.6125298122981
RL_Enhanced,2,2,1,2,15,-1570.6125298122981
RL_Enhanced,2,2,1,2,16,-1570.6125298122981
RL_Enhanced,2,2,1,2,17,-1570.6125298122981
RL_Enhanced,2,2,1,2,18,-1570.6125298122981
RL_Enhanced,2,2,1,2,19,-1570.6125298122981
RL_Enhanced,2,2,1,2,20,-1570.6125298122981
Random,2,2,1,3,1,inf
Random,2,2,1,3,2,-1304.8001685975307
Random,2,2,1,3,3,-1304.8001685975307
Random,2,2,1,3,4,-1304.8001685975307
Random,2,2,1,3,5,-1525.061023225321
Random,2,2,1,3,6,-1575.4032984535124
Random,2,2,1,3,7,-1575.4032984535124
Random,2,2,1,3,8,-1575.4032984535124
Random,2,2,1,3,9,-1575.4032984535124
Random,2,2,1,3,10,-1575.4032984535124
Random,2,2,1,3,11,-1575.4032984535124
Random,2,2,1,3,12,-1575.4032984535124
Random,2,2,1,3,13,-1732.6495003331793
Random,2,2,1,3,14,-1732.6495003331793
Random,2,2,1,3,15,-1732.6495003331793
Random,2,2,1,3,16,-1732.6495003331793
Random,2,2,1,3,17,-1817.8415078605685
Random,2,2,1,3,18,-1817.8415078605685
Random,2,2,1,3,19,-1817.8415078605685
Random,2,2,1,3,20,-1817.8415078605685
qLogEI,2,2,1,3,1,inf
qLogEI,2,2,1,3,2,-1304.8001685975307
qLogEI,2,2,1,3,3,-1304.8001685975307
qLogEI,2,2,1,3,4,-1304.8001685975307
qLogEI,2,2,1,3,5,-1304.8001685975307
qLogEI,2,2,1,3,6,-1876.7094265639705
qLogEI,2,2,1,3,7,-1918.9578065588958
qLogEI,2,2,1,3,8,-1918.9578065588958
qLogEI,2,2,1,3,9,-1918.9578065588958
qLogEI,2,2,1,3,10,-1987.0716480368085
qLogEI,2,2,1,3,11,-2010.4624448178472
qLogEI,2,2,1,3,12,-2010.4624448178472
qLogEI,2,2,1,3,13,-2010.4624448178472
qLogEI,2,2,1,3,14,-2010.4624448178472
qLogEI,2,2,1,3,15,-2010.4624448178472
qLogEI,2,2,1,3,16,-2010.4624448178472
qLogEI,2,2,1,3,17,-2010.4624448178472
qLogEI,2,2,1,3,18,-2010.4624448178472
qLogEI,2,2,1,3,19,-2017.7211767662939
qLogEI,2,2,1,3,20,-2017.7211767662939
RL_Enhanced,2,2,1,3,1,inf
RL_Enhanced,2,2,1,3,2,-1304.8001685975307
RL_Enhanced,2,2,1,3,3,-1304.8001685975307
RL_Enhanced,2,2,1,3,4,-1304.8001685975307
RL_Enhanced,2,2,1,3,5,-1493.7358838440298
RL_Enhanced,2,2,1,3,6,-1493.7358838440298
RL_Enhanced,2,2,1,3,7,-1493.7358838440298
RL_Enhanced,2,2,1,3,8,-1493.7358838440298
RL_Enhanced,2,2,1,3,9,-1493.7358838440298
RL_Enhanced,2,2,1,3,10,-1493.7358838440298
RL_Enhanced,2,2,1,3,11,-1493.7358838440298
RL_Enhanced,2,2,1,3,12,-1493.7358838440298
RL_Enhanced,2,2,1,3,13,-1493.7358838440298
RL_Enhanced,2,2,1,3,14,-1493.7358838440298
RL_Enhanced,2,2,1,3,15,-1493.7358838440298
RL_Enhanced,2,2,1,3,16,-1493.7358838440298
RL_Enhanced,2,2,1,3,17,-1493.7358838440298
RL_Enhanced,2,2,1,3,18,-1493.7358838440298
RL_Enhanced,2,2,1,3,19,-1493.7358838440298
RL_Enhanced,2,2,1,3,20,-1493.7358838440298
Random,2,2,1,4,1,-1424.8122622011065
Random,2,2,1,4,2,-1424.8122622011065
Random,2,2,1,4,3,-1424.8122622011065
Random,2,2,1,4,4,-1424.8122622011065
Random,2,2,1,4,5,-1424.8122622011065
Random,2,2,1,4,6,-1582.7335723488275
Random,2,2,1,4,7,-1801.4902191691679
Random,2,2,1,4,8,-1929.9078613679603
Random,2,2,1,4,9,-1929.9078613679603
Random,2,2,1,4,10,-1929.9078613679603
Random,2,2,1,4,11,-1929.9078613679603
Random,2,2,1,4,12,-1929.9078613679603
Random,2,2,1,4,13,-1929.9078613679603
Random,2,2,1,4,14,-1979.2281983453768
Random,2,2,1,4,15,-1979.2281983453768
Random,2,2,1,4,16,-1979.2281983453768
Random,2,2,1,4,17,-1979.2281983453768
Random,2,2,1,4,18,-1979.2281983453768
Random,2,2,1,4,19,-1979.2281983453768
Random,2,2,1,4,20,-1979.2281983453768
qLogEI,2,2,1,4,1,-1424.8122622011065
qLogEI,2,2,1,4,2,-1424.8122622011065
qLogEI,2,2,1,4,3,-1424.8122622011065
qLogEI,2,2,1,4,4,-1424.8122622011065
qLogEI,2,2,1,4,5,-1424.8122622011065
qLogEI,2,2,1,4,6,-1424.8122622011065
qLogEI,2,2,1,4,7,-1424.8122622011065
qLogEI,2,2,1,4,8,-1870.1023958624169
qLogEI,2,2,1,4,9,-1870.1023958624169
qLogEI,2,2,1,4,10,-1948.718951543412
qLogEI,2,2,1,4,11,-1948.718951543412
qLogEI,2,2,1,4,12,-1969.2937088057743
qLogEI,2,2,1,4,13,-2005.4315056342166
qLogEI,2,2,1,4,14,-2005.4315056342166
qLogEI,2,2,1,4,15,-2005.4315056342166
qLogEI,2,2,1,4,16,-2012.0933069361076
qLogEI,2,2,1,4,17,-2014.3914345106011
qLogEI,2,2,1,4,18,-2014.3914345106011
qLogEI,2,2,1,4,19,-2014.3914345106011
qLogEI,2,2,1,4,20,-2014.3914345106011
RL_Enhanced,2,2,1,4,1,-1424.8122622011065
RL_Enhanced,2,2,1,4,2,-1424.8122622011065
RL_Enhanced,2,2,1,4,3,-1424.8122622011065
RL_Enhanced,2,2,1,4,4,-1424.8122622011065
RL_Enhanced,2,2,1,4,5,-1424.8122622011065
RL_Enhanced,2,2,1,4,6,-1424.8122622011065
RL_Enhanced,2,2,1,4,7,-1424.8122622011065
RL_Enhanced,2,2,1,4,8,-1424.8122622011065
RL_Enhanced,2,2,1,4,9,-1424.8122622011065
RL_Enhanced,2,2,1,4,10,-1424.8122622011065
RL_Enhanced,2,2,1,4,11,-1424.8122622011065
RL_Enhanced,2,2,1,4,12,-1424.8122622011065
RL_Enhanced,2,2,1,4,13,-1424.8122622011065
RL_Enhanced,2,2,1,4,14,-1424.8122622011065
RL_Enhanced,2,2,1,4,15,-1424.8122622011065
RL_Enhanced,2,2,1,4,16,-1424.8122622011065
RL_Enhanced,2,2,1,4,17,-1424.8122622011065
RL_Enhanced,2,2,1,4,18,-1424.8122622011065
RL_Enhanced,2,2,1,4,19,-1431.1984616956943
RL_Enhanced,2,2,1,4,20,-1431.1984616956943
Random,2,2,2,0,1,inf
Random,2,2,2,0,2,inf
Random,2,2,2,0,3,inf
Random,2,2,2,0,4,inf
Random,2,2,2,0,5,inf
Random,2,2,2,0,6,inf
Random,2,2,2,0,7,inf
Random,2,2,2,0,8,inf
Random,2,2,2,0,9,inf
Random,2,2,2,0,10,inf
Random,2,2,2,0,11,inf
Random,2,2,2,0,12,inf
Random,2,2,2,0,13,inf
Random,2,2,2,0,14,inf
Random,2,2,2,0,15,inf
Random,2,2,2,0,16,inf
Random,2,2,2,0,17,inf
Random,2,2,2,0,18,inf
Random,2,2,2,0,19,inf
Random,2,2,2,0,20,inf
qLogEI,2,2,2,0,1,inf
qLogEI,2,2,2,0,2,inf
qLogEI,2,2,2,0,3,inf
qLogEI,2,2,2,0,4,inf
qLogEI,2,2,2,0,5,inf
qLogEI,2,2,2,0,6,inf
qLogEI,2,2,2,0,7,inf
qLogEI,2,2,2,0,8,inf
qLogEI,2,2,2,0,9,inf
qLogEI,2,2,2,0,10,inf
qLogEI,2,2,2,0,11,inf
qLogEI,2,2,2,0,12,inf
qLogEI,2,2,2,0,13,inf
qLogEI,2,2,2,0,14,inf
qLogEI,2,2,2,0,15,inf
qLogEI,2,2,2,0,16,inf
qLogEI,2,2,2,0,17,inf
qLogEI,2,2,2,0,18,inf
qLogEI,2,2,2,0,19,inf
qLogEI,2,2,2,0,20,inf
RL_Enhanced,2,2,2,0,1,inf
RL_Enhanced,2,2,2,0,2,inf
RL_Enhanced,2,2,2,0,3,inf
RL_Enhanced,2,2,2,0,4,inf
RL_Enhanced,2,2,2,0,5,inf
RL_Enhanced,2,2,2,0,6,inf
RL_Enhanced,2,2,2,0,7,inf
RL_Enhanced,2,2,2,0,8,inf
RL_Enhanced,2,2,2,0,9,inf
RL_Enhanced,2,2,2,0,10,inf
RL_Enhanced,2,2,2,0,11,inf
RL_Enhanced,2,2,2,0,12,inf
RL_Enhanced,2,2,2,0,13,inf
RL_Enhanced,2,2,2,0,14,inf
RL_Enhanced,2,2,2,0,15,inf
RL_Enhanced,2,2,2,0,16,inf
RL_Enhanced,2,2,2,0,17,inf
RL_Enhanced,2,2,2,0,18,inf
RL_Enhanced,2,2,2,0,19,inf
RL_Enhanced,2,2,2,0,20,inf
Random,2,2,2,1,1,inf
Random,2,2,2,1,2,inf
Random,2,2,2,1,3,inf
Random,2,2,2,1,4,inf
Random,2,2,2,1,5,inf
Random,2,2,2,1,6,inf
Random,2,2,2,1,7,inf
Random,2,2,2,1,8,inf
Random,2,2,2,1,9,inf
Random,2,2,2,1,10,inf
Random,2,2,2,1,11,inf
Random,2,2,2,1,12,inf
Random,2,2,2,1,13,inf
Random,2,2,2,1,14,inf
Random,2,2,2,1,15,inf
Random,2,2,2,1,16,inf
Random,2,2,2,1,17,inf
Random,2,2,2,1,18,inf
Random,2,2,2,1,19,inf
Random,2,2,2,1,20,inf
qLogEI,2,2,2,1,1,inf
qLogEI,2,2,2,1,2,inf
qLogEI,2,2,2,1,3,inf
qLogEI,2,2,2,1,4,inf
qLogEI,2,2,2,1,5,inf
qLogEI,2,2,2,1,6,inf
qLogEI,2,2,2,1,7,inf
qLogEI,2,2,2,1,8,inf
qLogEI,2,2,2,1,9,inf
qLogEI,2,2,2,1,10,inf
qLogEI,2,2,2,1,11,inf
qLogEI,2,2,2,1,12,inf
qLogEI,2,2,2,1,13,inf
qLogEI,2,2,2,1,14,inf
qLogEI,2,2,2,1,15,inf
qLogEI,2,2,2,1,16,inf
qLogEI,2,2,2,1,17,inf
qLogEI,2,2,2,1,18,inf
qLogEI,2,2,2,1,19,inf
qLogEI,2,2,2,1,20,inf
RL_Enhanced,2,2,2,1,1,inf
RL_Enhanced,2,2,2,1,2,inf
RL_Enhanced,2,2,2,1,3,inf
RL_Enhanced,2,2,2,1,4,inf
RL_Enhanced,2,2,2,1,5,inf
RL_Enhanced,2,2,2,1,6,inf
RL_Enhanced,2,2,2,1,7,inf
RL_Enhanced,2,2,2,1,8,inf
RL_Enhanced,2,2,2,1,9,inf
RL_Enhanced,2,2,2,1,10,inf
RL_Enhanced,2,2,2,1,11,inf
RL_Enhanced,2,2,2,1,12,inf
RL_Enhanced,2,2,2,1,13,inf
RL_Enhanced,2,2,2,1,14,inf
RL_Enhanced,2,2,2,1,15,inf
RL_Enhanced,2,2,2,1,16,inf
RL_Enhanced,2,2,2,1,17,inf
RL_Enhanced,2,2,2,1,18,inf
RL_Enhanced,2,2,2,1,19,inf
RL_Enhanced,2,2,2,1,20,inf
Random,2,2,2,2,1,-714.3323717964231
Random,2,2,2,2,2,-714.3323717964231
Random,2,2,2,2,3,-714.3323717964231
Random,2,2,2,2,4,-714.3323717964231
Random,2,2,2,2,5,-714.3323717964231
Random,2,2,2,2,6,-714.3323717964231
Random,2,2,2,2,7,-714.3323717964231
Random,2,2,2,2,8,-714.3323717964231
Random,2,2,2,2,9,-714.3323717964231
Random,2,2,2,2,10,-714.3323717964231
Random,2,2,2,2,11,-714.3323717964231
Random,2,2,2,2,12,-714.3323717964231
Random,2,2,2,2,13,-714.3323717964231
Random,2,2,2,2,14,-714.3323717964231
Random,2,2,2,2,15,-714.3323717964231
Random,2,2,2,2,16,-714.3323717964231
Random,2,2,2,2,17,-714.3323717964231
Random,2,2,2,2,18,-714.3323717964231
Random,2,2,2,2,19,-714.3323717964231
Random,2,2,2,2,20,-714.3323717964231
qLogEI,2,2,2,2,1,-714.3323717964231
qLogEI,2,2,2,2,2,-714.3323717964231
qLogEI,2,2,2,2,3,-714.3323717964231
qLogEI,2,2,2,2,4,-714.3323717964231
qLogEI,2,2,2,2,5,-714.3323717964231
qLogEI,2,2,2,2,6,-714.3323717964231
qLogEI,2,2,2,2,7,-714.3323717964231
qLogEI,2,2,2,2,8,-714.3323717964231
qLogEI,2,2,2,2,9,-714.3323717964231
qLogEI,2,2,2,2,10,-714.3323717964231
qLogEI,2,2,2,2,11,-831.1044352548477
qLogEI,2,2,2,2,12,-831.1044352548477
qLogEI,2,2,2,2,13,-831.1044352548477
qLogEI,2,2,2,2,14,-832.9907002927146
qLogEI,2,2,2,2,15,-832.9907002927146
qLogEI,2,2,2,2,16,-849.2731057287447
qLogEI,2,2,2,2,17,-849.2731057287447
qLogEI,2,2,2,2,18,-849.2731057287447
qLogEI,2,2,2,2,19,-849.2731057287447
qLogEI,2,2,2,2,20,-849.2731057287447
RL_Enhanced,2,2,2,2,1,-714.3323717964231
RL_Enhanced,2,2,2,2,2,-714.3323717964231
RL_Enhanced,2,2,2,2,3,-714.3323717964231
RL_Enhanced,2,2,2,2,4,-714.3323717964231
RL_Enhanced,2,2,2,2,5,-714.3323717964231
RL_Enhanced,2,2,2,2,6,-714.3323717964231
RL_Enhanced,2,2,2,2,7,-714.3323717964231
RL_Enhanced,2,2,2,2,8,-714.3323717964231
RL_Enhanced,2,2,2,2,9,-714.3323717964231
RL_Enhanced,2,2,2,2,10,-714.3323717964231
RL_Enhanced,2,2,2,2,11,-714.3323717964231
RL_Enhanced,2,2,2,2,12,-714.3323717964231
RL_Enhanced,2,2,2,2,13,-714.3323717964231
RL_Enhanced,2,2,2,2,14,-714.3323717964231
RL_Enhanced,2,2,2,2,15,-714.3323717964231
RL_Enhanced,2,2,2,2,16,-714.3323717964231
RL_Enhanced,2,2,2,2,17,-714.3323717964231
RL_Enhanced,2,2,2,2,18,-714.3323717964231
RL_Enhanced,2,2,2,2,19,-714.3323717964231
RL_Enhanced,2,2,2,2,20,-714.3323717964231
Random,2,2,2,3,1,inf
Random,2,2,2,3,2,inf
Random,2,2,2,3,3,inf
Random,2,2,2,3,4,inf
Random,2,2,2,3,5,inf
Random,2,2,2,3,6,inf
Random,2,2,2,3,7,inf
Random,2,2,2,3,8,inf
Random,2,2,2,3,9,inf
Random,2,2,2,3,10,inf
Random,2,2,2,3,11,inf
Random,2,2,2,3,12,inf
Random,2,2,2,3,13,inf
Random,2,2,2,3,14,inf
Random,2,2,2,3,15,inf
Random,2,2,2,3,16,inf
Random,2,2,2,3,17,inf
Random,2,2,2,3,18,inf
Random,2,2,2,3,19,inf
Random,2,2,2,3,20,inf
qLogEI,2,2,2,3,1,inf
qLogEI,2,2,2,3,2,inf
qLogEI,2,2,2,3,3,inf
qLogEI,2,2,2,3,4,inf
qLogEI,2,2,2,3,5,inf
qLogEI,2,2,2,3,6,inf
qLogEI,2,2,2,3,7,inf
qLogEI,2,2,2,3,8,inf
qLogEI,2,2,2,3,9,inf
qLogEI,2,2,2,3,10,inf
qLogEI,2,2,2,3,11,inf
qLogEI,2,2,2,3,12,inf
qLogEI,2,2,2,3,13,inf
qLogEI,2,2,2,3,14,inf
qLogEI,2,2,2,3,15,inf
qLogEI,2,2,2,3,16,inf
qLogEI,2,2,2,3,17,inf
qLogEI,2,2,2,3,18,inf
qLogEI,2,2,2,3,19,inf
qLogEI,2,2,2,3,20,inf
RL_Enhanced,2,2,2,3,1,inf
RL_Enhanced,2,2,2,3,2,inf
RL_Enhanced,2,2,2,3,3,inf
RL_Enhanced,2,2,2,3,4,inf
RL_Enhanced,2,2,2,3,5,inf
RL_Enhanced,2,2,2,3,6,inf
RL_Enhanced,2,2,2,3,7,inf
RL_Enhanced,2,2,2,3,8,inf
RL_Enhanced,2,2,2,3,9,inf
RL_Enhanced,2,2,2,3,10,inf
RL_Enhanced,2,2,2,3,11,inf
RL_Enhanced,2,2,2,3,12,inf
RL_Enhanced,2,2,2,3,13,inf
RL_Enhanced,2,2,2,3,14,inf
RL_Enhanced,2,2,2,3,15,inf
RL_Enhanced,2,2,2,3,16,inf
RL_Enhanced,2,2,2,3,17,inf
RL_Enhanced,2,2,2,3,18,inf
RL_Enhanced,2,2,2,3,19,inf
RL_Enhanced,2,2,2,3,20,inf
Random,2,2,2,4,1,inf
Random,2,2,2,4,2,inf
Random,2,2,2,4,3,inf
Random,2,2,2,4,4,inf
Random,2,2,2,4,5,inf
Random,2,2,2,4,6,inf
Random,2,2,2,4,7,inf
Random,2,2,2,4,8,inf
Random,2,2,2,4,9,inf
Random,2,2,2,4,10,inf
Random,2,2,2,4,11,inf
Random,2,2,2,4,12,inf
Random,2,2,2,4,13,inf
Random,2,2,2,4,14,inf
Random,2,2,2,4,15,inf
Random,2,2,2,4,16,inf
Random,2,2,2,4,17,inf
Random,2,2,2,4,18,inf
Random,2,2,2,4,19,inf
Random,2,2,2,4,20,inf
qLogEI,2,2,2,4,1,inf
qLogEI,2,2,2,4,2,inf
qLogEI,2,2,2,4,3,inf
qLogEI,2,2,2,4,4,inf
qLogEI,2,2,2,4,5,inf
qLogEI,2,2,2,4,6,inf
qLogEI,2,2,2,4,7,inf
qLogEI,2,2,2,4,8,inf
qLogEI,2,2,2,4,9,inf
qLogEI,2,2,2,4,10,inf
qLogEI,2,2,2,4,11,inf
qLogEI,2,2,2,4,12,inf
qLogEI,2,2,2,4,13,inf
qLogEI,2,2,2,4,14,inf
qLogEI,2,2,2,4,15,inf
qLogEI,2,2,2,4,16,inf
qLogEI,2,2,2,4,17,inf
qLogEI,2,2,2,4,18,inf
qLogEI,2,2,2,4,19,inf
qLogEI,2,2,2,4,20,inf
RL_Enhanced,2,2,2,4,1,inf
RL_Enhanced,2,2,2,4,2,inf
RL_Enhanced,2,2,2,4,3,inf
RL_Enhanced,2,2,2,4,4,inf
RL_Enhanced,2,2,2,4,5,inf
RL_Enhanced,2,2,2,4,6,inf
RL_Enhanced,2,2,2,4,7,inf
RL_Enhanced,2,2,2,4,8,inf
RL_Enhanced,2,2,2,4,9,inf
RL_Enhanced,2,2,2,4,10,inf
RL_Enhanced,2,2,2,4,11,inf
RL_Enhanced,2,2,2,4,12,inf
RL_Enhanced,2,2,2,4,13,inf
RL_Enhanced,2,2,2,4,14,inf
RL_Enhanced,2,2,2,4,15,inf
RL_Enhanced,2,2,2,4,16,inf
RL_Enhanced,2,2,2,4,17,inf
RL_Enhanced,2,2,2,4,18,inf
RL_Enhanced,2,2,2,4,19,inf
RL_Enhanced,2,2,2,4,20,inf
Random,2,2,3,0,1,-6.624960755369926
Random,2,2,3,0,2,-6.624960755369926
Random,2,2,3,0,3,-6.624960755369926
Random,2,2,3,0,4,-6.624960755369926
Random,2,2,3,0,5,-6.624960755369926
Random,2,2,3,0,6,-6.624960755369926
Random,2,2,3,0,7,-538.7854115780654
Random,2,2,3,0,8,-538.7854115780654
Random,2,2,3,0,9,-538.7854115780654
Random,2,2,3,0,10,-538.7854115780654
Random,2,2,3,0,11,-538.7854115780654
Random,2,2,3,0,12,-538.7854115780654
Random,2,2,3,0,13,-538.7854115780654
Random,2,2,3,0,14,-538.7854115780654
