method,dim,function,instance,repetition,eval,best_feasible
qLogEI,2,2,1,2,2,-1501.5305258682502
qLogEI,2,2,1,2,3,-1501.5305258682502
qLogEI,2,2,1,2,4,-1501.5305258682502
qLogEI,2,2,1,2,5,-1888.7072114978919
qLogEI,2,2,1,2,6,-1888.7072114978919
qLogEI,2,2,1,2,7,-1888.7072114978919
qLogEI,2,2,1,2,8,-2003.8281885186238
qLogEI,2,2,1,2,9,-2003.8281885186238
qLogEI,2,2,1,2,10,-2003.8281885186238
qLogEI,2,2,1,2,11,-2003.8281885186238
qLogEI,2,2,1,2,12,-2005.9645366869995
qLogEI,2,2,1,2,13,-2005.9645366869995
qLogEI,2,2,1,2,14,-2011.4975056604426
qLogEI,2,2,1,2,15,-2011.4975056604426
qLogEI,2,2,1,2,16,-2011.4975056604426
qLogEI,2,2,1,2,17,-2011.4975056604426
qLogEI,2,2,1,2,18,-2011.4975056604426
qLogEI,2,2,1,2,19,-2011.4975056604426
qLogEI,2,2,1,2,20,-2011.4975056604426
RL,2,2,1,2,1,inf
RL,2,2,1,2,2,-1501.5305258682502
RL,2,2,1,2,3,-1501.5305258682502
RL,2,2,1,2,4,-1501.5305258682502
RL,2,2,1,2,5,-1501.5305258682502
RL,2,2,1,2,6,-1501.5305258682502
RL,2,2,1,2,7,-1501.5305258682502
RL,2,2,1,2,8,-1501.5305258682502
RL,2,2,1,2,9,-1501.5305258682502
RL,2,2,1,2,10,-1501.5305258682502
RL,2,2,1,2,11,-1501.5305258682502
RL,2,2,1,2,12,-1501.5305258682502
RL,2,2,1,2,13,-1501.5305258682502
RL,2,2,1,2,14,-1501.5305258682502
RL,2,2,1,2,15,-1501.5305258682502
RL,2,2,1,2,16,-1501.5305258682502
RL,2,2,1,2,17,-1501.5305258682502
RL,2,2,1,2,18,-1501.5305258682502
RL,2,2,1,2,19,-1501.5305258682502
RL,2,2,1,2,20,-1501.5305258682502
Random,2,2,1,3,1,inf
Random,2,2,1,3,2,-1304.8001685975307
Random,2,2,1,3,3,-1304.8001685975307
Random,2,2,1,3,4,-1304.8001685975307
Random,2,2,1,3,5,-1525.061023225321
Random,2,2,1,3,6,-1575.4032984535124
Random,2,2,1,3,7,-1575.4032984535124
Random,2,2,1,3,8,-1575.4032984535124
Random,2,2,1,3,9,-1575.4032984535124
Random,2,2,1,3,10,-1575.4032984535124
Random,2,2,1,3,11,-1575.4032984535124
Random,2,2,1,3,12,-1575.4032984535124
Random,2,2,1,3,13,-1732.6495003331793
Random,2,2,1,3,14,-1732.6495003331793
Random,2,2,1,3,15,-1732.6495003331793
Random,2,2,1,3,16,-1732.6495003331793
Random,2,2,1,3,17,-1817.8415078605685
Random,2,2,1,3,18,-1817.8415078605685
Random,2,2,1,3,19,-1817.8415078605685
Random,2,2,1,3,20,-1817.8415078605685
qLogEI,2,2,1,3,1,inf
qLogEI,2,2,1,3,2,-1304.8001685975307
qLogEI,2,2,1,3,3,-1304.8001685975307
qLogEI,2,2,1,3,4,-1304.8001685975307
qLogEI,2,2,1,3,5,-1304.8001685975307
qLogEI,2,2,1,3,6,-1831.60274479967
qLogEI,2,2,1,3,7,-1923.544449431748
qLogEI,2,2,1,3,8,-1923.544449431748
qLogEI,2,2,1,3,9,-1962.287971232127
qLogEI,2,2,1,3,10,-1991.3322789950914
qLogEI,2,2,1,3,11,-1991.3322789950914
qLogEI,2,2,1,3,12,-1991.3322789950914
qLogEI,2,2,1,3,13,-1991.3322789950914
qLogEI,2,2,1,3,14,-1991.3322789950914
qLogEI,2,2,1,3,15,-2003.8531606780452
qLogEI,2,2,1,3,16,-2003.8531606780452
qLogEI,2,2,1,3,17,-2007.9811763063403
qLogEI,2,2,1,3,18,-2013.3717501128897
qLogEI,2,2,1,3,19,-2017.1775007510969
qLogEI,2,2,1,3,20,-2017.1775007510969
RL,2,2,1,3,1,inf
RL,2,2,1,3,2,-1304.8001685975307
RL,2,2,1,3,3,-1304.8001685975307
RL,2,2,1,3,4,-1304.8001685975307
RL,2,2,1,3,5,-1409.7657852647785
RL,2,2,1,3,6,-1409.7657852647785
RL,2,2,1,3,7,-1409.7657852647785
RL,2,2,1,3,8,-1409.7657852647785
RL,2,2,1,3,9,-1409.7657852647785
RL,2,2,1,3,10,-1409.7657852647785
RL,2,2,1,3,11,-1409.7657852647785
RL,2,2,1,3,12,-1409.7657852647785
RL,2,2,1,3,13,-1409.7657852647785
RL,2,2,1,3,14,-1409.7657852647785
RL,2,2,1,3,15,-1409.7657852647785
RL,2,2,1,3,16,-1409.7657852647785
RL,2,2,1,3,17,-1409.7657852647785
RL,2,2,1,3,18,-1409.7657852647785
RL,2,2,1,3,19,-1409.7657852647785
RL,2,2,1,3,20,-1409.7657852647785
Random,2,2,1,4,1,-1424.8122622011065
Random,2,2,1,4,2,-1424.8122622011065
Random,2,2,1,4,3,-1424.8122622011065
Random,2,2,1,4,4,-1424.8122622011065
Random,2,2,1,4,5,-1424.8122622011065
Random,2,2,1,4,6,-1582.7335723488275
Random,2,2,1,4,7,-1801.4902191691679
Random,2,2,1,4,8,-1929.9078613679603
Random,2,2,1,4,9,-1929.9078613679603
Random,2,2,1,4,10,-1929.9078613679603
Random,2,2,1,4,11,-1929.9078613679603
Random,2,2,1,4,12,-1929.9078613679603
Random,2,2,1,4,13,-1929.9078613679603
Random,2,2,1,4,14,-1979.2281983453768
Random,2,2,1,4,15,-1979.2281983453768
Random,2,2,1,4,16,-1979.2281983453768
Random,2,2,1,4,17,-1979.2281983453768
Random,2,2,1,4,18,-1979.2281983453768
Random,2,2,1,4,19,-1979.2281983453768
Random,2,2,1,4,20,-1979.2281983453768
qLogEI,2,2,1,4,1,-1424.8122622011065
qLogEI,2,2,1,4,2,-1424.8122622011065
qLogEI,2,2,1,4,3,-1424.8122622011065
qLogEI,2,2,1,4,4,-1424.8122622011065
qLogEI,2,2,1,4,5,-1424.8122622011065
qLogEI,2,2,1,4,6,-1424.8122622011065
qLogEI,2,2,1,4,7,-1424.8122622011065
qLogEI,2,2,1,4,8,-1424.8122622011065
qLogEI,2,2,1,4,9,-1853.7772418995505
qLogEI,2,2,1,4,10,-1853.7772418995505
qLogEI,2,2,1,4,11,-1917.6898711017789
qLogEI,2,2,1,4,12,-1917.6898711017789
qLogEI,2,2,1,4,13,-1951.1662387609535
qLogEI,2,2,1,4,14,-1984.1989534780396
qLogEI,2,2,1,4,15,-1984.1989534780396
qLogEI,2,2,1,4,16,-1984.1989534780396
qLogEI,2,2,1,4,17,-1999.357956534468
qLogEI,2,2,1,4,18,-1999.357956534468
qLogEI,2,2,1,4,19,-1999.357956534468
qLogEI,2,2,1,4,20,-1999.357956534468
RL,2,2,1,4,1,-1424.8122622011065
RL,2,2,1,4,2,-1424.8122622011065
RL,2,2,1,4,3,-1424.8122622011065
RL,2,2,1,4,4,-1424.8122622011065
RL,2,2,1,4,5,-1424.8122622011065
RL,2,2,1,4,6,-1424.8122622011065
RL,2,2,1,4,7,-1424.8122622011065
RL,2,2,1,4,8,-1424.8122622011065
RL,2,2,1,4,9,-1424.8122622011065
RL,2,2,1,4,10,-1424.8122622011065
RL,2,2,1,4,11,-1424.8122622011065
RL,2,2,1,4,12,-1424.8122622011065
RL,2,2,1,4,13,-1424.8122622011065
RL,2,2,1,4,14,-1424.8122622011065
RL,2,2,1,4,15,-1424.8122622011065
RL,2,2,1,4,16,-1424.8122622011065
RL,2,2,1,4,17,-1424.8122622011065
RL,2,2,1,4,18,-1424.8122622011065
RL,2,2,1,4,19,-1424.8122622011065
RL,2,2,1,4,20,-1424.8122622011065
Random,2,2,2,0,1,inf
Random,2,2,2,0,2,inf
Random,2,2,2,0,3,inf
Random,2,2,2,0,4,inf
Random,2,2,2,0,5,inf
Random,2,2,2,0,6,inf
Random,2,2,2,0,7,inf
Random,2,2,2,0,8,inf
Random,2,2,2,0,9,inf
Random,2,2,2,0,10,inf
Random,2,2,2,0,11,inf
Random,2,2,2,0,12,inf
Random,2,2,2,0,13,inf
Random,2,2,2,0,14,inf
Random,2,2,2,0,15,inf
Random,2,2,2,0,16,inf
Random,2,2,2,0,17,inf
Random,2,2,2,0,18,inf
Random,2,2,2,0,19,inf
Random,2,2,2,0,20,inf
qLogEI,2,2,2,0,1,inf
qLogEI,2,2,2,0,2,inf
qLogEI,2,2,2,0,3,inf
qLogEI,2,2,2,0,4,inf
qLogEI,2,2,2,0,5,inf
qLogEI,2,2,2,0,6,inf
qLogEI,2,2,2,0,7,inf
qLogEI,2,2,2,0,8,inf
qLogEI,2,2,2,0,9,inf
qLogEI,2,2,2,0,10,inf
qLogEI,2,2,2,0,11,inf
qLogEI,2,2,2,0,12,inf
qLogEI,2,2,2,0,13,inf
qLogEI,2,2,2,0,14,inf
qLogEI,2,2,2,0,15,inf
qLogEI,2,2,2,0,16,inf
qLogEI,2,2,2,0,17,inf
qLogEI,2,2,2,0,18,inf
qLogEI,2,2,2,0,19,inf
qLogEI,2,2,2,0,20,inf
RL,2,2,2,0,1,inf
RL,2,2,2,0,2,inf
RL,2,2,2,0,3,inf
RL,2,2,2,0,4,inf
RL,2,2,2,0,5,inf
RL,2,2,2,0,6,inf
RL,2,2,2,0,7,inf
RL,2,2,2,0,8,inf
RL,2,2,2,0,9,inf
RL,2,2,2,0,10,inf
RL,2,2,2,0,11,inf
RL,2,2,2,0,12,inf
RL,2,2,2,0,13,inf
RL,2,2,2,0,14,inf
RL,2,2,2,0,15,inf
RL,2,2,2,0,16,inf
RL,2,2,2,0,17,inf
RL,2,2,2,0,18,inf
RL,2,2,2,0,19,inf
RL,2,2,2,0,20,inf
Random,2,2,2,1,1,inf
Random,2,2,2,1,2,inf
Random,2,2,2,1,3,inf
Random,2,2,2,1,4,inf
Random,2,2,2,1,5,inf
Random,2,2,2,1,6,inf
Random,2,2,2,1,7,inf
Random,2,2,2,1,8,inf
Random,2,2,2,1,9,inf
Random,2,2,2,1,10,inf
Random,2,2,2,1,11,inf
Random,2,2,2,1,12,inf
Random,2,2,2,1,13,inf
Random,2,2,2,1,14,inf
Random,2,2,2,1,15,inf
Random,2,2,2,1,16,inf
Random,2,2,2,1,17,inf
Random,2,2,2,1,18,inf
Random,2,2,2,1,19,inf
Random,2,2,2,1,20,inf
qLogEI,2,2,2,1,1,inf
qLogEI,2,2,2,1,2,inf
qLogEI,2,2,2,1,3,inf
qLogEI,2,2,2,1,4,inf
qLogEI,2,2,2,1,5,inf
qLogEI,2,2,2,1,6,inf
qLogEI,2,2,2,1,7,inf
qLogEI,2,2,2,1,8,inf
qLogEI,2,2,2,1,9,inf
qLogEI,2,2,2,1,10,inf
qLogEI,2,2,2,1,11,inf
qLogEI,2,2,2,1,12,inf
qLogEI,2,2,2,1,13,inf
qLogEI,2,2,2,1,14,inf
qLogEI,2,2,2,1,15,inf
qLogEI,2,2,2,1,16,inf
qLogEI,2,2,2,1,17,inf
qLogEI,2,2,2,1,18,inf
qLogEI,2,2,2,1,19,inf
qLogEI,2,2,2,1,20,inf
RL,2,2,2,1,1,inf
RL,2,2,2,1,2,inf
RL,2,2,2,1,3,inf
RL,2,2,2,1,4,inf
RL,2,2,2,1,5,inf
RL,2,2,2,1,6,inf
RL,2,2,2,1,7,inf
RL,2,2,2,1,8,inf
RL,2,2,2,1,9,inf
RL,2,2,2,1,10,inf
RL,2,2,2,1,11,inf
RL,2,2,2,1,12,inf
RL,2,2,2,1,13,inf
RL,2,2,2,1,14,inf
RL,2,2,2,1,15,inf
RL,2,2,2,1,16,inf
RL,2,2,2,1,17,inf
RL,2,2,2,1,18,inf
RL,2,2,2,1,19,inf
RL,2,2,2,1,20,inf
Random,2,2,2,2,1,-714.3323717964231
Random,2,2,2,2,2,-714.3323717964231
Random,2,2,2,2,3,-714.3323717964231
Random,2,2,2,2,4,-714.3323717964231
Random,2,2,2,2,5,-714.3323717964231
Random,2,2,2,2,6,-714.3323717964231
Random,2,2,2,2,7,-714.3323717964231
Random,2,2,2,2,8,-714.3323717964231
Random,2,2,2,2,9,-714.3323717964231
Random,2,2,2,2,10,-714.3323717964231
Random,2,2,2,2,11,-714.3323717964231
Random,2,2,2,2,12,-714.3323717964231
Random,2,2,2,2,13,-714.3323717964231
Random,2,2,2,2,14,-714.3323717964231
Random,2,2,2,2,15,-714.3323717964231
Random,2,2,2,2,16,-714.3323717964231
Random,2,2,2,2,17,-714.3323717964231
Random,2,2,2,2,18,-714.3323717964231
Random,2,2,2,2,19,-714.3323717964231
Random,2,2,2,2,20,-714.3323717964231
qLogEI,2,2,2,2,1,-714.3323717964231
qLogEI,2,2,2,2,2,-714.3323717964231
