method,dim,function,instance,repetition,eval,best_feasible
qLogEI,2,2,1,2,1,inf
qLogEI,2,2,1,2,2,-1501.5305258682502
qLogEI,2,2,1,2,3,-1501.5305258682502
qLogEI,2,2,1,2,4,-1501.5305258682502
qLogEI,2,2,1,2,5,-1879.1387654494067
qLogEI,2,2,1,2,6,-1879.1387654494067
qLogEI,2,2,1,2,7,-1999.781535713118
qLogEI,2,2,1,2,8,-1999.781535713118
qLogEI,2,2,1,2,9,-2003.4394634076612
qLogEI,2,2,1,2,10,-2003.6505009470795
qLogEI,2,2,1,2,11,-2003.6505009470795
qLogEI,2,2,1,2,12,-2010.2159379438817
qLogEI,2,2,1,2,13,-2010.2159379438817
qLogEI,2,2,1,2,14,-2010.2159379438817
qLogEI,2,2,1,2,15,-2010.2159379438817
qLogEI,2,2,1,2,16,-2013.4491908613677
qLogEI,2,2,1,2,17,-2013.4491908613677
qLogEI,2,2,1,2,18,-2013.4491908613677
qLogEI,2,2,1,2,19,-2013.4491908613677
qLogEI,2,2,1,2,20,-2013.4491908613677
RL_Full,2,2,1,2,1,inf
RL_Full,2,2,1,2,2,-1501.5305258682502
RL_Full,2,2,1,2,3,-1501.5305258682502
RL_Full,2,2,1,2,4,-1501.5305258682502
RL_Full,2,2,1,2,5,-1501.5305258682502
RL_Full,2,2,1,2,6,-1501.5305258682502
RL_Full,2,2,1,2,7,-1501.5305258682502
RL_Full,2,2,1,2,8,-1501.5305258682502
RL_Full,2,2,1,2,9,-1501.5305258682502
RL_Full,2,2,1,2,10,-1501.5305258682502
RL_Full,2,2,1,2,11,-1501.5305258682502
RL_Full,2,2,1,2,12,-1501.5305258682502
RL_Full,2,2,1,2,13,-1501.5305258682502
RL_Full,2,2,1,2,14,-1501.5305258682502
RL_Full,2,2,1,2,15,-1501.5305258682502
RL_Full,2,2,1,2,16,-1501.5305258682502
RL_Full,2,2,1,2,17,-1501.5305258682502
RL_Full,2,2,1,2,18,-1501.5305258682502
RL_Full,2,2,1,2,19,-1501.5305258682502
RL_Full,2,2,1,2,20,-1501.5305258682502
Random,2,2,1,3,1,inf
Random,2,2,1,3,2,-1304.8001685975307
Random,2,2,1,3,3,-1304.8001685975307
Random,2,2,1,3,4,-1304.8001685975307
Random,2,2,1,3,5,-1525.061023225321
Random,2,2,1,3,6,-1575.4032984535124
Random,2,2,1,3,7,-1575.4032984535124
Random,2,2,1,3,8,-1575.4032984535124
Random,2,2,1,3,9,-1575.4032984535124
