method,dim,function,instance,repetition,final_best_feasible
Random,2,6,3,4,-9664.61995150882
qLogEI,2,6,3,4,-9828.0569658239
RL_Enhanced,2,6,3,4,-9528.020599058158
Random,2,50,1,0,493.7424187470792
qLogEI,2,50,1,0,294.4692708671666
RL_Enhanced,2,50,1,0,669.2908842782938
Random,2,50,1,1,166.19583632102146
qLogEI,2,50,1,1,339.3924499538724
RL_Enhanced,2,50,1,1,655.3916856026017
Random,2,50,1,2,132.0809747546461
qLogEI,2,50,1,2,277.30225515289953
RL_Enhanced,2,50,1,2,726.9911149934119
Random,2,50,1,3,190.350646303926
qLogEI,2,50,1,3,284.21511665844156
RL_Enhanced,2,50,1,3,284.21511665844156
Random,2,50,1,4,129.98920041002154
qLogEI,2,50,1,4,121.67920380415009
RL_Enhanced,2,50,1,4,559.6064985445274
Random,2,50,2,0,8748.691754136544
qLogEI,2,50,2,0,8574.839338905611
RL_Enhanced,2,50,2,0,8727.743738341873
Random,2,50,2,1,8998.262689886655
qLogEI,2,50,2,1,8656.603561386497
RL_Enhanced,2,50,2,1,8741.205031457073
Random,2,50,2,2,8835.20851483428
qLogEI,2,50,2,2,8573.944155981007
RL_Enhanced,2,50,2,2,8749.94018013534
Random,2,50,2,3,inf
qLogEI,2,50,2,3,8574.211744786115
RL_Enhanced,2,50,2,3,8744.880206702781
Random,2,50,2,4,8652.634353159492
qLogEI,2,50,2,4,8656.60343216539
RL_Enhanced,2,50,2,4,8687.83859465078
Random,2,50,3,0,657.5094577237819
qLogEI,2,50,3,0,142.11570435757255
RL_Enhanced,2,50,3,0,inf
Random,2,50,3,1,359.5641880196198
qLogEI,2,50,3,1,291.7921641884178
RL_Enhanced,2,50,3,1,458.8079018534427
Random,2,50,3,2,247.12572070497617
qLogEI,2,50,3,2,312.28001860322433
RL_Enhanced,2,50,3,2,457.9183081083471
Random,2,50,3,3,394.22402658173723
qLogEI,2,50,3,3,242.12454346476744
RL_Enhanced,2,50,3,3,inf
Random,2,50,3,4,324.46652152338777
qLogEI,2,50,3,4,355.4973196103724
RL_Enhanced,2,50,3,4,inf
Random,2,52,1,0,2645.5150045330956
qLogEI,2,52,1,0,2371.692792128687
RL_Enhanced,2,52,1,0,inf
Random,2,52,1,1,2086.9580698037407
qLogEI,2,52,1,1,2007.3624595112287
RL_Enhanced,2,52,1,1,inf
Random,2,52,1,2,2500.7755206487923
qLogEI,2,52,1,2,1995.935428957585
RL_Enhanced,2,52,1,2,3260.4147138106987
Random,2,52,1,3,2258.3579005903107
qLogEI,2,52,1,3,2043.0554119356775
RL_Enhanced,2,52,1,3,1979.7685061838297
Random,2,52,1,4,2207.6306520176463
qLogEI,2,52,1,4,2087.2359969082327
RL_Enhanced,2,52,1,4,2046.4822560419677
Random,2,52,2,0,inf
qLogEI,2,52,2,0,-668.7477238372801
RL_Enhanced,2,52,2,0,-617.3522477160807
Random,2,52,2,1,inf
qLogEI,2,52,2,1,-654.7313911850847
RL_Enhanced,2,52,2,1,-603.5625201645373
Random,2,52,2,2,-576.3718780154411
qLogEI,2,52,2,2,-605.1260397030729
RL_Enhanced,2,52,2,2,-696.6176877772946
Random,2,52,2,3,-820.2039774845838
qLogEI,2,52,2,3,-509.9683845072252
RL_Enhanced,2,52,2,3,-562.2683723043272
Random,2,52,2,4,-440.355857954459
qLogEI,2,52,2,4,-674.244754086306
RL_Enhanced,2,52,2,4,-755.9242683529346
Random,2,52,3,0,inf
qLogEI,2,52,3,0,-85.4583347567457
RL_Enhanced,2,52,3,0,inf
Random,2,52,3,1,-732.7894642587233
qLogEI,2,52,3,1,inf
RL_Enhanced,2,52,3,1,inf
Random,2,52,3,2,inf
qLogEI,2,52,3,2,-334.6198934215299
RL_Enhanced,2,52,3,2,inf
Random,2,52,3,3,-300.70894611209724
qLogEI,2,52,3,3,inf
RL_Enhanced,2,52,3,3,inf
Random,2,52,3,4,inf
qLogEI,2,52,3,4,-116.16594465399629
RL_Enhanced,2,52,3,4,inf
Random,2,54,1,0,10645.168437854829
qLogEI,2,54,1,0,10553.694148576613
RL_Enhanced,2,54,1,0,inf
Random,2,54,1,1,inf
qLogEI,2,54,1,1,inf
RL_Enhanced,2,54,1,1,inf
Random,2,54,1,2,inf
qLogEI,2,54,1,2,10870.327965350007
RL_Enhanced,2,54,1,2,inf
Random,2,54,1,3,inf
qLogEI,2,54,1,3,inf
RL_Enhanced,2,54,1,3,inf
Random,2,54,1,4,inf
qLogEI,2,54,1,4,10858.58333282923
RL_Enhanced,2,54,1,4,inf
Random,2,54,2,0,inf
qLogEI,2,54,2,0,454.78148545833847
RL_Enhanced,2,54,2,0,inf
Random,2,54,2,1,inf
qLogEI,2,54,2,1,inf
RL_Enhanced,2,54,2,1,inf
