method,dim,function,instance,repetition,final_best_feasible
RL_Full,2,50,1,1,655.3916856026017
Random,2,50,1,2,132.0809747546461
qLogEI,2,50,1,2,245.88863426173558
RL_Full,2,50,1,2,729.9759003145408
Random,2,50,1,3,190.350646303926
qLogEI,2,50,1,3,257.88775781899
RL_Full,2,50,1,3,284.21511665844156
Random,2,50,1,4,129.98920041002154
qLogEI,2,50,1,4,220.18890506458857
RL_Full,2,50,1,4,559.6064985445274
Random,2,50,2,0,8748.691754136544
qLogEI,2,50,2,0,8772.025728952518
RL_Full,2,50,2,0,inf
Random,2,50,2,1,8998.262689886655
qLogEI,2,50,2,1,8555.839246465805
RL_Full,2,50,2,1,inf
Random,2,50,2,2,8835.20851483428
qLogEI,2,50,2,2,8573.903937107763
RL_Full,2,50,2,2,8835.20851483428
Random,2,50,2,3,inf
qLogEI,2,50,2,3,8580.299318028487
RL_Full,2,50,2,3,inf
Random,2,50,2,4,8652.634353159492
qLogEI,2,50,2,4,8582.286061675824
RL_Full,2,50,2,4,inf
Random,2,50,3,0,657.5094577237819
qLogEI,2,50,3,0,284.857415257628
RL_Full,2,50,3,0,inf
Random,2,50,3,1,359.5641880196198
qLogEI,2,50,3,1,204.3265348591318
RL_Full,2,50,3,1,458.8079018534427
Random,2,50,3,2,247.12572070497617
qLogEI,2,50,3,2,350.85871746959236
RL_Full,2,50,3,2,627.0200498318243
Random,2,50,3,3,394.22402658173723
qLogEI,2,50,3,3,167.88360883993607
RL_Full,2,50,3,3,inf
Random,2,50,3,4,324.46652152338777
qLogEI,2,50,3,4,211.55458486298866
RL_Full,2,50,3,4,inf
Random,2,52,1,0,2645.5150045330956
qLogEI,2,52,1,0,1913.7903587634105
RL_Full,2,52,1,0,inf
Random,2,52,1,1,2086.9580698037407
qLogEI,2,52,1,1,2546.3818481201215
RL_Full,2,52,1,1,inf
Random,2,52,1,2,2500.7755206487923
qLogEI,2,52,1,2,2208.1869598097182
RL_Full,2,52,1,2,3260.4147138106987
Random,2,52,1,3,2258.3579005903107
qLogEI,2,52,1,3,2357.4743467517383
RL_Full,2,52,1,3,2724.3909338929966
Random,2,52,1,4,2207.6306520176463
qLogEI,2,52,1,4,2211.3276980823266
RL_Full,2,52,1,4,3036.5843624682784
Random,2,52,2,0,inf
qLogEI,2,52,2,0,-707.2292905667757
RL_Full,2,52,2,0,inf
Random,2,52,2,1,inf
qLogEI,2,52,2,1,-635.2890651831079
RL_Full,2,52,2,1,inf
Random,2,52,2,2,-576.3718780154411
qLogEI,2,52,2,2,-692.8815944642245
RL_Full,2,52,2,2,inf
Random,2,52,2,3,-820.2039774845838
qLogEI,2,52,2,3,-596.8871393777035
RL_Full,2,52,2,3,inf
Random,2,52,2,4,-440.355857954459
qLogEI,2,52,2,4,-607.542740298838
RL_Full,2,52,2,4,-180.82752404803983
Random,2,52,3,0,inf
qLogEI,2,52,3,0,-289.65702593283254
RL_Full,2,52,3,0,inf
Random,2,52,3,1,-732.7894642587233
qLogEI,2,52,3,1,-220.70331844329758
RL_Full,2,52,3,1,inf
Random,2,52,3,2,inf
qLogEI,2,52,3,2,inf
RL_Full,2,52,3,2,inf
Random,2,52,3,3,-300.70894611209724
qLogEI,2,52,3,3,-152.29172697517654
RL_Full,2,52,3,3,inf
Random,2,52,3,4,inf
qLogEI,2,52,3,4,inf
RL_Full,2,52,3,4,inf
Random,2,54,1,0,10645.168437854829
qLogEI,2,54,1,0,inf
RL_Full,2,54,1,0,inf
Random,2,54,1,1,inf
qLogEI,2,54,1,1,inf
RL_Full,2,54,1,1,inf
Random,2,54,1,2,inf
qLogEI,2,54,1,2,inf
RL_Full,2,54,1,2,inf
Random,2,54,1,3,inf
qLogEI,2,54,1,3,10554.83511140151
RL_Full,2,54,1,3,inf
Random,2,54,1,4,inf
qLogEI,2,54,1,4,inf
RL_Full,2,54,1,4,inf
Random,2,54,2,0,inf
qLogEI,2,54,2,0,inf
RL_Full,2,54,2,0,inf
Random,2,54,2,1,inf
qLogEI,2,54,2,1,inf
RL_Full,2,54,2,1,inf
Random,2,54,2,2,inf
qLogEI,2,54,2,2,inf
RL_Full,2,54,2,2,inf
Random,2,54,2,3,inf
qLogEI,2,54,2,3,557.434349552554
RL_Full,2,54,2,3,inf
Random,2,54,2,4,inf
qLogEI,2,54,2,4,inf
RL_Full,2,54,2,4,inf
Random,2,54,3,0,inf
qLogEI,2,54,3,0,-2948.617351607763
RL_Full,2,54,3,0,inf
