method,dim,function,instance,repetition,final_best_feasible
RL,2,50,1,3,284.21511665844156
Random,2,50,1,4,129.98920041002154
qLogEI,2,50,1,4,61.009471137701006
RL,2,50,1,4,559.6064985445274
Random,2,50,2,0,8748.691754136544
qLogEI,2,50,2,0,8554.012921400661
RL,2,50,2,0,8765.420472337775
Random,2,50,2,1,8998.262689886655
qLogEI,2,50,2,1,8563.946278217194
RL,2,50,2,1,8815.619343570006
Random,2,50,2,2,8835.20851483428
qLogEI,2,50,2,2,8573.900684843384
RL,2,50,2,2,8835.20851483428
Random,2,50,2,3,inf
qLogEI,2,50,2,3,8568.600560915998
RL,2,50,2,3,8838.252103609682
Random,2,50,2,4,8652.634353159492
qLogEI,2,50,2,4,8659.192338010425
RL,2,50,2,4,8884.938203876623
Random,2,50,3,0,657.5094577237819
qLogEI,2,50,3,0,176.11734816146267
RL,2,50,3,0,inf
Random,2,50,3,1,359.5641880196198
qLogEI,2,50,3,1,458.8079018534427
RL,2,50,3,1,458.8079018534427
Random,2,50,3,2,247.12572070497617
qLogEI,2,50,3,2,342.45773856356067
RL,2,50,3,2,627.0200498318243
Random,2,50,3,3,394.22402658173723
qLogEI,2,50,3,3,336.9815052450442
RL,2,50,3,3,inf
Random,2,50,3,4,324.46652152338777
qLogEI,2,50,3,4,260.2646446342822
RL,2,50,3,4,inf
Random,2,52,1,0,2645.5150045330956
qLogEI,2,52,1,0,2039.8098499917164
RL,2,52,1,0,6280.380855697113
Random,2,52,1,1,2086.9580698037407
qLogEI,2,52,1,1,2054.7182134008517
RL,2,52,1,1,9688.991594705945
Random,2,52,1,2,2500.7755206487923
qLogEI,2,52,1,2,1973.193962136254
RL,2,52,1,2,3260.4147138106987
Random,2,52,1,3,2258.3579005903107
qLogEI,2,52,1,3,2404.2723185147656
RL,2,52,1,3,2724.3909338929966
Random,2,52,1,4,2207.6306520176463
qLogEI,2,52,1,4,2208.260474597556
RL,2,52,1,4,3036.5843624682784
Random,2,52,2,0,inf
qLogEI,2,52,2,0,-381.0537265350125
RL,2,52,2,0,-440.98342854608154
Random,2,52,2,1,inf
qLogEI,2,52,2,1,-678.4013053183797
RL,2,52,2,1,-381.09676375562145
Random,2,52,2,2,-576.3718780154411
qLogEI,2,52,2,2,-751.8095494660844
RL,2,52,2,2,-381.0557331425824
Random,2,52,2,3,-820.2039774845838
qLogEI,2,52,2,3,-646.8706629692333
RL,2,52,2,3,-445.4619525016738
Random,2,52,2,4,-440.355857954459
qLogEI,2,52,2,4,-710.2574422520345
RL,2,52,2,4,-393.8207804876032
Random,2,52,3,0,inf
qLogEI,2,52,3,0,-295.60381587490735
RL,2,52,3,0,inf
Random,2,52,3,1,-732.7894642587233
qLogEI,2,52,3,1,-55.74026037751352
RL,2,52,3,1,inf
Random,2,52,3,2,inf
qLogEI,2,52,3,2,-171.63865063741852
RL,2,52,3,2,inf
Random,2,52,3,3,-300.70894611209724
qLogEI,2,52,3,3,-102.91669495574496
RL,2,52,3,3,inf
Random,2,52,3,4,inf
qLogEI,2,52,3,4,-448.4193274503575
RL,2,52,3,4,inf
Random,2,54,1,0,10645.168437854829
qLogEI,2,54,1,0,10982.869557274136
RL,2,54,1,0,inf
Random,2,54,1,1,inf
qLogEI,2,54,1,1,inf
RL,2,54,1,1,inf
Random,2,54,1,2,inf
qLogEI,2,54,1,2,10460.093365289886
RL,2,54,1,2,inf
Random,2,54,1,3,inf
qLogEI,2,54,1,3,10978.098777944031
RL,2,54,1,3,inf
Random,2,54,1,4,inf
qLogEI,2,54,1,4,10406.006059372447
RL,2,54,1,4,inf
Random,2,54,2,0,inf
qLogEI,2,54,2,0,inf
RL,2,54,2,0,inf
Random,2,54,2,1,inf
qLogEI,2,54,2,1,inf
RL,2,54,2,1,inf
Random,2,54,2,2,inf
qLogEI,2,54,2,2,inf
RL,2,54,2,2,inf
Random,2,54,2,3,inf
qLogEI,2,54,2,3,426.23975805907946
RL,2,54,2,3,inf
Random,2,54,2,4,inf
qLogEI,2,54,2,4,inf
RL,2,54,2,4,inf
Random,2,54,3,0,inf
qLogEI,2,54,3,0,inf
RL,2,54,3,0,inf
Random,2,54,3,1,inf
qLogEI,2,54,3,1,inf
RL,2,54,3,1,inf
Random,2,54,3,2,inf
qLogEI,2,54,3,2,inf
RL,2,54,3,2,inf
Random,2,54,3,3,inf
qLogEI,2,54,3,3,inf
RL,2,54,3,3,inf
Random,2,54,3,4,inf
qLogEI,2,54,3,4,inf
RL,2,54,3,4,inf
Random,10,2,1,0,-872.495448054011
qLogEI,10,2,1,0,-1297.9498174134023
RL,10,2,1,0,-330.99581010627134
Random,10,2,1,1,-917.4980731074888
qLogEI,10,2,1,1,-1599.8442994767142
RL,10,2,1,1,inf
Random,10,2,1,2,-1317.7090610685175
qLogEI,10,2,1,2,-1694.313532982452
RL,10,2,1,2,-990.7343163328561
Random,10,2,1,3,-465.66309781992743
qLogEI,10,2,1,3,-1418.8620413560373
RL,10,2,1,3,-465.66309781992743
Random,10,2,1,4,-570.1492847065092
qLogEI,10,2,1,4,-1419.9448972412358
RL,10,2,1,4,-570.1492847065092
Random,10,2,2,0,643.2130342099058
qLogEI,10,2,2,0,-75.80388295291897
RL,10,2,2,0,inf
Random,10,2,2,1,inf
qLogEI,10,2,2,1,inf
RL,10,2,2,1,inf
Random,10,2,2,2,576.919230566215
qLogEI,10,2,2,2,-244.89964886397146
RL,10,2,2,2,790.4101432023654
Random,10,2,2,3,inf
qLogEI,10,2,2,3,-227.93977303358474
RL,10,2,2,3,inf
Random,10,2,2,4,586.1677105463281
qLogEI,10,2,2,4,-228.09975172438655
RL,10,2,2,4,586.1677105463281
Random,10,2,3,0,1709.547164083051
qLogEI,10,2,3,0,1709.547164083051
RL,10,2,3,0,1709.547164083051
Random,10,2,3,1,1004.8580745790458
qLogEI,10,2,3,1,inf
RL,10,2,3,1,inf
Random,10,2,3,2,955.8440563944829
qLogEI,10,2,3,2,2119.144865334256
RL,10,2,3,2,2119.144865334256
Random,10,2,3,3,1298.1957277792453
qLogEI,10,2,3,3,2012.444647898551
RL,10,2,3,3,2012.444647898551
Random,10,2,3,4,1135.7255933270808
qLogEI,10,2,3,4,inf
RL,10,2,3,4,inf
Random,10,4,1,0,inf
qLogEI,10,4,1,0,inf
RL,10,4,1,0,inf
Random,10,4,1,1,inf
qLogEI,10,4,1,1,inf
RL,10,4,1,1,inf
Random,10,4,1,2,inf
qLogEI,10,4,1,2,inf
RL,10,4,1,2,inf
Random,10,4,1,3,inf
qLogEI,10,4,1,3,inf
RL,10,4,1,3,inf
Random,10,4,1,4,inf
qLogEI,10,4,1,4,inf
RL,10,4,1,4,inf
Random,10,4,2,0,inf
qLogEI,10,4,2,0,inf
RL,10,4,2,0,inf
Random,10,4,2,1,inf
qLogEI,10,4,2,1,inf
RL,10,4,2,1,inf
Random,10,4,2,2,inf
qLogEI,10,4,2,2,inf
RL,10,4,2,2,inf
Random,10,4,2,3,inf
qLogEI,10,4,2,3,inf
RL,10,4,2,3,inf
Random,10,4,2,4,inf
qLogEI,10,4,2,4,inf
RL,10,4,2,4,inf
Random,10,4,3,0,inf
qLogEI,10,4,3,0,inf
RL,10,4,3,0,inf
Random,10,4,3,1,inf
qLogEI,10,4,3,1,inf
RL,10,4,3,1,inf
Random,10,4,3,2,inf
qLogEI,10,4,3,2,inf
RL,10,4,3,2,inf
Random,10,4,3,3,inf
qLogEI,10,4,3,3,inf
RL,10,4,3,3,inf
Random,10,4,3,4,inf
qLogEI,10,4,3,4,inf
RL,10,4,3,4,inf
Random,10,6,1,0,inf
qLogEI,10,6,1,0,inf
RL,10,6,1,0,inf
Random,10,6,1,1,inf
qLogEI,10,6,1,1,inf
RL,10,6,1,1,inf
Random,10,6,1,2,inf
qLogEI,10,6,1,2,inf
RL,10,6,1,2,inf
Random,10,6,1,3,inf
qLogEI,10,6,1,3,inf
RL,10,6,1,3,inf
Random,10,6,1,4,inf
qLogEI,10,6,1,4,inf
RL,10,6,1,4,inf
Random,10,6,2,0,inf
qLogEI,10,6,2,0,inf
RL,10,6,2,0,inf
Random,10,6,2,1,inf
qLogEI,10,6,2,1,inf
RL,10,6,2,1,inf
Random,10,6,2,2,inf
qLogEI,10,6,2,2,inf
RL,10,6,2,2,inf
Random,10,6,2,3,inf
qLogEI,10,6,2,3,inf
RL,10,6,2,3,inf
Random,10,6,2,4,inf
qLogEI,10,6,2,4,inf
RL,10,6,2,4,inf
Random,10,6,3,0,inf
qLogEI,10,6,3,0,inf
RL,10,6,3,0,inf
Random,10,6,3,1,inf
qLogEI,10,6,3,1,inf
RL,10,6,3,1,inf
Random,10,6,3,2,inf
qLogEI,10,6,3,2,inf
RL,10,6,3,2,inf
Random,10,6,3,3,inf
qLogEI,10,6,3,3,inf
RL,10,6,3,3,inf
Random,10,6,3,4,inf
qLogEI,10,6,3,4,inf
RL,10,6,3,4,inf
Random,10,50,1,0,2645.9799228791558
qLogEI,10,50,1,0,1787.449679832034
RL,10,50,1,0,inf
Random,10,50,1,1,2429.498432639624
qLogEI,10,50,1,1,1328.6625920497088
RL,10,50,1,1,2429.498432639624
Random,10,50,1,2,2803.1066083229593
qLogEI,10,50,1,2,1731.7364673866987
RL,10,50,1,2,2803.1066083229593
Random,10,50,1,3,2385.637851732893
qLogEI,10,50,1,3,1719.604962442501
RL,10,50,1,3,4527.0659041642575
Random,10,50,1,4,2138.924057672955
qLogEI,10,50,1,4,1186.137890130934
RL,10,50,1,4,2138.924057672955
Random,10,50,2,0,11410.307269813806
qLogEI,10,50,2,0,10575.155753131678
RL,10,50,2,0,19765.952044892445
Random,10,50,2,1,11540.110753047029
qLogEI,10,50,2,1,10597.91617877453
RL,10,50,2,1,11693.572209775923
Random,10,50,2,2,11334.382734012928
qLogEI,10,50,2,2,10349.023681009272
RL,10,50,2,2,11917.046850709568
Random,10,50,2,3,12787.11366491195
qLogEI,10,50,2,3,10343.623306603195
RL,10,50,2,3,inf
Random,10,50,2,4,11668.542244977363
qLogEI,10,50,2,4,10488.754116212922
RL,10,50,2,4,inf
Random,10,50,3,0,2452.9510426587276
qLogEI,10,50,3,0,1511.2433980300693
RL,10,50,3,0,3457.875322949512
Random,10,50,3,1,2393.073874521119
qLogEI,10,50,3,1,1820.6905459652057
RL,10,50,3,1,2898.6838899360428
Random,10,50,3,2,2676.452466433623
qLogEI,10,50,3,2,1774.0174308818323
RL,10,50,3,2,3530.708510520185
Random,10,50,3,3,3232.978600424647
qLogEI,10,50,3,3,1556.2523585001331
RL,10,50,3,3,3913.530692946033
Random,10,50,3,4,2547.3439570856763
